region,month,season,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
east_midlands,9,autumn,113.7034316,89.55439717,72.04354851,65.8799723,62.57978764,57.78021851,56.94344849,56.45348927,57.92502116,71.85258136,78.87877972,97.90894052,158.9844964,302.6263753,461.5203893,618.4828422,664.4097484,620.2841425,540.6636147,444.0026545,361.7804878,290.700854,260.6453412,236.395976,225.1181426,227.3197661,262.7540971,240.3705855,216.7222821,204.4263676,192.0785181,202.4222898,234.7022005,288.2673694,390.4445641,491.9635685,536.8702393,503.8407709,529.697661,529.4097869,527.6286451,483.5271216,415.8829345,363.6669616,312.8461568,259.3008771,215.2634069,158.0919443
east_midlands,10,autumn,249.225167,197.7646913,170.3642532,150.9604226,141.3920633,145.2142832,158.4452101,160.8917276,173.1791936,202.2468285,263.1596523,382.3447118,589.9045549,923.9414467,1284.313933,1523.500406,1547.323086,1497.64974,1293.493763,1082.395173,895.8717623,772.160041,698.2367221,640.9748754,621.0943496,614.0438531,673.1711015,650.1687339,625.1855896,630.2592671,677.4128768,749.4805824,907.3975759,1085.72151,1324.903813,1469.888512,1520.966889,1495.099968,1500.27531,1416.368706,1319.395526,1184.543482,1096.179936,948.9925086,808.7848687,642.4200502,489.7654334,333.1370366
east_midlands,11,autumn,232.6508888,215.835394,213.4750488,212.8535123,209.4345652,209.26102,218.724321,255.6289687,290.2283111,370.8909477,585.6868171,954.6497928,1516.274789,1997.477994,2140.449498,2134.841354,1806.068295,1527.538583,1306.093674,1120.853033,1018.267356,970.6494503,938.6572251,950.0052745,1023.031442,1025.425489,970.9727369,981.8507723,1052.116005,1151.725794,1312.768195,1605.891016,1990.539405,2186.515601,2219.99428,2091.723499,1999.712607,1876.956263,1788.41172,1648.625749,1536.374422,1372.782786,1218.03062,1001.075282,733.0288043,491.1534747,355.366887,284.640511
east_midlands,12,winter,331.9307351,296.4343365,294.3972044,297.89778,289.0977471,294.4834402,311.6875843,350.8711396,417.9537576,495.4431508,759.601184,1169.092156,1735.867423,2306.225785,2537.366552,2555.102023,2328.241473,2100.520506,1887.904226,1684.608453,1560.014965,1482.836902,1462.214537,1476.111528,1572.408058,1554.256471,1510.526986,1491.91656,1546.576484,1660.687091,1846.363756,2091.664858,2407.50666,2538.933268,2566.065384,2453.386417,2387.740109,2287.120408,2177.505049,2057.786713,1921.72419,1775.351554,1555.691531,1297.127907,967.1166256,670.9436935,502.1922381,409.2621937
south_west,1,winter,275.7785293,253.5614581,246.2098884,239.1168108,252.8290186,254.2685781,266.4822075,286.187861,341.4973813,419.8120193,618.243498,1049.7114,1781.121929,2416.682549,2729.381199,2569.707719,2291.353006,2011.525484,1742.041122,1567.440487,1448.690719,1353.609942,1307.534313,1329.97899,1365.394008,1383.360728,1401.875378,1388.603059,1387.394816,1464.563224,1606.975848,1828.980457,2356.261635,2653.404603,2777.198755,2618.892407,2513.085117,2396.917727,2308.91234,2140.989884,1969.55658,1780.271691,1540.942777,1263.637207,923.2742047,623.9448418,425.0805375,319.9827013
south_west,2,winter,248.5013729,233.7315657,233.3701733,223.6210171,236.5974487,236.4846405,252.4260912,288.1292832,346.3430582,423.9992849,632.8993765,1128.762056,1876.825982,2488.91731,2669.859447,2435.571535,2120.759339,1775.55792,1499.487444,1318.109147,1190.186259,1106.747411,1069.634632,1092.917396,1124.019249,1112.302328,1091.457153,1092.441422,1084.861392,1156.18297,1302.973171,1556.450117,2046.152394,2418.882873,2615.656084,2543.327813,2441.103884,2319.441479,2191.493421,2033.119616,1862.996739,1662.39583,1437.89849,1154.282507,839.2858532,538.7933471,357.0945598,279.3925405
south_west,3,spring,196.9701001,182.6902391,184.8700534,174.5510088,185.5609927,191.5476635,200.6123904,237.1024584,275.263031,342.2916083,547.3130802,1027.495617,1710.066542,2306.679866,2479.834656,2206.526555,1884.866164,1499.329677,1194.679762,992.6482807,848.9328873,751.6724236,715.1797625,736.4123749,755.8628702,739.2271148,725.3082568,697.1985893,678.4296458,718.1277423,858.2388362,1106.594782,1555.841346,1898.146102,2107.174939,2131.94785,2155.727841,2072.617966,1920.835304,1766.256755,1643.792957,1475.322338,1249.553524,1016.843473,739.4147088,474.1068409,306.8956486,235.2328458
south_west,4,spring,208.3072598,152.7504439,129.5928684,118.8125123,118.9773131,116.4219274,115.7554005,119.0686526,130.1679325,146.648476,177.5372115,240.730075,387.069417,723.2444269,1281.836235,1718.856974,1810.446612,1558.056323,1322.508606,1022.938252,811.2697771,673.647465,569.6106481,496.489495,457.8773673,474.7847948,485.2688893,453.3415121,435.714786,421.9308296,385.4171927,407.6624088,453.4107072,595.2689386,866.8696488,1077.911422,1201.996893,1214.019136,1234.776583,1207.05255,1197.733577,1140.326494,1088.249778,987.3826938,840.7993194,677.0710692,485.4712961,300.9607664
south_west,5,spring,145.569882,105.7849178,96.92472819,84.4317871,82.80320838,82.01819783,82.24904374,84.54266639,86.76778636,97.46574866,126.9637434,173.1806106,278.0922178,520.5541878,923.1567332,1217.85655,1229.963118,1045.906739,858.1036233,643.1087466,514.6216009,436.5130167,375.3145791,331.5839303,307.1432877,337.4972298,366.8163062,333.6201868,313.6372256,298.6762872,280.5804066,297.8953567,319.9320769,438.3669704,640.4702228,796.3403343,868.0974801,835.1596773,874.5502933,831.3127941,780.5888912,715.5026543,665.4722628,622.4483854,547.1928275,449.1841575,329.0004636,215.5978394
south_west,6,summer,81.35827557,66.26711613,49.29811984,42.96026018,43.05222676,39.30861267,40.67462729,40.53556168,39.55227424,38.56903428,48.35585414,71.85590162,108.8634982,208.6765739,321.577438,466.9399392,540.7900959,466.9086032,393.3777419,304.2110436,266.8116988,240.9482955,221.2616561,201.9693761,183.6523597,190.6433387,202.0280125,180.1512202,172.3290761,155.6351249,147.1524547,137.2163137,153.8594625,201.8833919,321.0833254,399.7301776,487.3576583,439.2147944,487.4564144,433.9304435,379.5949577,306.5828506,270.5541259,256.7322192,235.3502516,189.4902668,151.1339379,120.1782357
south_west,7,summer,68.51460456,51.21274887,43.15099125,35.07329754,33.34087162,30.58887433,32.76510124,31.18518832,31.63215961,30.83632751,39.8525595,56.48319736,88.33647546,150.0102295,247.3199053,374.2361669,406.3243015,367.1562751,313.3675445,258.8212368,210.1591495,193.105677,173.8640994,163.8121486,146.1034366,158.9849093,166.7791351,141.8188274,141.4852264,123.7687788,115.2317707,100.9917149,119.0217695,159.9318172,247.4273577,322.4621465,370.7638754,351.6644122,391.1534852,354.2961491,311.0379592,240.8278734,213.3765904,186.8273661,168.5322315,140.8434713,122.5844359,98.97894915
south_west,8,summer,67.81279134,49.30125622,40.49569408,35.5072292,32.87884175,31.10539622,31.63372047,32.78174133,35.62724184,31.49522004,42.49257328,58.11475863,91.00983645,145.8717311,230.0972584,327.2345738,363.2284902,322.1829422,284.8989097,238.1464407,217.7451608,193.2380501,177.3219167,159.984791,142.8283559,153.4775223,160.2493877,141.0054515,131.1934898,114.9591925,107.474678,104.3264992,110.8308051,148.4242712,232.6667457,295.6584104,363.0656159,338.8610255,349.9169629,308.0061231,289.4195307,232.4205183,193.3020858,169.1845224,152.6958205,126.387098,108.0307735,85.65805483
south_west,9,autumn,87.88352682,66.05281129,53.77945975,46.1377191,42.89050763,42.63111769,41.73935807,44.03031338,46.61601791,46.71242128,58.49901358,73.39733667,127.1077472,240.2047576,385.8029061,566.0244328,651.2123454,557.7205782,447.1409439,354.8199029,290.0120267,247.1664011,209.9265878,186.8532134,179.3868275,192.5637757,192.0919265,169.8986266,166.0069429,154.4618332,140.9767054,141.9961302,148.4554594,205.0240155,327.450717,418.8904697,493.0144548,459.920214,494.5919645,489.3758631,480.403976,392.5732984,329.3267699,287.1750892,256.8188406,210.5383185,168.778056,120.298619
south_west,10,autumn,199.6613077,154.7217756,123.8168377,119.1177421,109.2091438,106.8448288,112.2773272,110.8950693,123.4937917,149.3619465,211.6326348,297.2841097,487.957188,788.2490849,1158.084296,1463.299648,1478.188079,1323.295701,1086.216967,871.2594919,691.0607909,560.6542381,503.6720735,465.7558674,465.5636259,473.9494366,477.1235556,463.5293548,450.258487,433.9883012,458.4800115,499.869949,631.4744491,830.8683701,1101.389543,1244.470394,1406.794804,1392.874148,1424.019378,1374.551532,1263.257339,1121.852365,989.9067322,878.4040408,727.2169669,574.7275892,424.3811455,287.6854231
south_west,11,autumn,177.4132209,164.0735788,157.8027155,151.3866146,155.0864363,156.6455462,167.4719536,178.2308853,225.7560173,300.0056916,469.3629912,806.4003977,1424.165055,1938.076116,2106.121271,1971.26524,1646.544675,1355.169307,1062.163684,900.6662895,788.8482137,711.8051841,659.2482342,677.8104642,750.8711856,742.6898101,745.5416238,746.2616746,745.0017486,819.4259412,953.1754097,1216.272578,1756.879312,2037.232771,2208.967291,2083.397312,2018.861757,1906.251594,1746.319104,1611.279641,1462.736405,1311.509257,1110.640369,912.0704245,661.2202907,417.3162244,274.0526641,210.68909
south_west,12,winter,234.6098629,210.31281,203.1387025,197.0722368,211.1511526,206.9650164,221.8136044,236.2818144,313.4719385,365.0075544,551.3638427,943.6610576,1639.109685,2248.808384,2554.322115,2406.950815,2100.654865,1817.789223,1515.634536,1313.088351,1202.879681,1114.228609,1062.193723,1085.356904,1146.504588,1139.964595,1149.571734,1150.923613,1160.407969,1239.989495,1425.154071,1655.158902,2218.138832,2460.550563,2574.462633,2438.032584,2347.373764,2229.271115,2111.354991,1993.775152,1819.936225,1655.481049,1432.123172,1176.166877,880.9538955,562.6961061,377.3809292,290.8718024
