"Time","week before switch to BST","first week after switch to BST","Christmas week","New Year week","mid Jan week","week with maximum Demand","spring week before switch to BST","Easter Week, first week of BST","May Bank Holiday","mid Summer Week","summer Holiday"
Wed 21:30,0.20463,0.5128,0.59332,0.66255,0.38057,0.44746,0.6697,0.22162,0.32908,0.07826,0.079045
Wed 22:00,0.24602,0.48831,0.57061,0.60765,0.38149,0.43928,0.58411,0.19897,0.34864,0.068645,0.073953
Wed 22:30,0.27179,0.50939,0.60301,0.58187,0.37531,0.40399,0.47403,0.17642,0.35332,0.0771,0.074321
Wed 23:00,0.32204,0.44638,0.55544,0.54439,0.40352,0.38823,0.37128,0.22764,0.37994,0.079812,0.084968
Wed 23:30,0.31843,0.32864,0.57733,0.55654,0.41376,0.36183,0.35606,0.34447,0.39092,0.1202,0.10901
Thu 00:00,0.28544,0.33811,0.64351,0.61431,0.40477,0.40863,0.42257,0.18727,0.18066,0.10742,0.079972
Thu 00:30,0.35123,0.33963,0.52963,0.45908,0.53303,0.49782,0.50603,0.1633,0.20543,0.1526,0.13584
Thu 01:00,0.41969,0.41849,0.31548,0.2635,0.46714,0.50244,0.40927,0.22255,0.22242,0.13836,0.12319
Thu 01:30,0.2828,0.46328,0.36792,0.28479,0.63622,0.59251,0.31089,0.19425,0.17019,0.12678,0.16322
Thu 02:00,0.25471,0.4308,0.44229,0.29381,0.85575,0.79312,0.51237,0.20422,0.15003,0.14524,0.13732
Thu 02:30,0.25366,0.39461,0.47651,0.34975,0.69902,0.67426,0.39005,0.2011,0.13485,0.16688,0.1285
Thu 03:00,0.22943,0.32837,0.46204,0.40452,0.60929,0.46471,0.40293,0.39822,0.15911,0.10212,0.10407
Thu 03:30,0.25534,0.30222,0.45824,0.33694,0.45045,0.36081,0.42767,0.37327,0.12777,0.10667,0.10235
Thu 04:00,0.20479,0.3039,0.45876,0.35434,0.50831,0.35908,0.73367,0.32363,0.1463,0.12213,0.081077
Thu 04:30,0.24638,0.26152,0.46466,0.32329,0.58914,0.36583,0.7152,0.16599,0.16019,0.12088,0.10407
Thu 05:00,0.24397,0.30107,0.45451,0.40551,0.60289,0.49151,0.63892,0.16486,0.2016,0.10896,0.13611
Thu 05:30,0.26936,0.26882,0.4016,0.42717,0.5807,0.48133,0.34803,0.15082,0.18421,0.12404,0.10226
Thu 06:00,0.23298,0.28648,0.45935,0.47754,0.57491,0.48125,0.46732,0.15068,0.1553,0.11881,0.10018
Thu 06:30,0.24033,0.2204,0.5058,0.4325,0.606,0.39413,0.32473,0.12668,0.14145,0.10858,0.10162
Thu 07:00,0.25666,0.26582,0.54882,0.47397,0.56747,0.43675,0.29454,0.12503,0.16056,0.12863,0.11379
Thu 07:30,0.24692,0.26176,0.53352,0.46938,,0.37597,0.25662,0.14994,0.1533,0.15725,0.098126
Thu 08:00,0.22689,0.26781,0.49432,0.47357,,0.25856,0.28379,0.13832,0.14083,0.14985,0.10391
Thu 08:30,0.22197,0.27601,0.44549,0.43015,,0.34161,0.33278,0.13025,0.13253,0.13952,0.096293
Thu 09:00,0.26422,0.25662,0.45569,0.46098,0.67147,0.61949,0.26744,0.13654,0.1458,0.12922,0.10622
Thu 09:30,0.2839,0.27703,0.50787,0.47443,,0.56111,0.29238,0.16013,0.16513,0.13471,
Thu 10:00,0.3445,0.29371,0.55456,0.50295,0.64232,0.48029,0.31005,0.21886,0.2194,0.14369,0.1084
Thu 10:30,0.38709,0.39188,0.58016,0.52986,,0.49383,0.43315,0.20379,0.23435,0.12703,0.19086
Thu 11:00,0.51809,0.47195,0.52861,0.57501,,0.54865,0.48838,0.20987,0.22298,0.14877,0.14328
Thu 11:30,0.54527,0.4957,0.55355,0.53586,0.56939,0.50379,0.46795,0.202,0.1928,0.17869,0.15867
Thu 12:00,0.48629,0.51359,0.53138,0.51888,0.61604,0.54463,0.47384,,0.19445,0.11926,0.13448
Thu 12:30,0.43675,0.52787,0.51594,0.56109,0.59533,0.56996,0.5248,0.20614,0.23098,0.11578,0.13346
Thu 13:00,0.41319,0.50908,0.47788,0.50716,0.52102,0.52941,0.4578,0.2342,0.21456,0.14863,0.15019
Thu 13:30,0.39813,0.49321,0.45405,0.47919,0.76587,0.74713,0.43424,0.2475,0.1846,0.18915,0.17653
Thu 14:00,0.39695,0.55655,0.47766,0.46118,0.89253,0.86348,0.4608,0.24825,0.19186,0.18096,0.13723
Thu 14:30,0.36823,0.47448,0.47299,0.41809,0.91231,0.83089,0.43246,0.24767,0.19124,0.18179,0.18
Thu 15:00,0.36659,0.41198,0.42089,0.42343,0.80081,0.68989,0.45156,0.22103,0.21218,0.1735,0.14665
Thu 15:30,,0.39759,0.42679,0.38188,0.67178,0.52424,0.38377,0.20169,0.1685,0.14911,0.13459
Thu 16:00,0.26606,0.3738,0.4881,0.43333,0.56878,0.54789,0.41987,0.15738,0.15676,0.14517,0.11715
Thu 16:30,0.22129,0.26355,0.41013,0.38348,0.48735,0.51168,0.41618,0.15129,0.1531,0.1059,0.12435
Thu 17:00,0.1942,0.23251,0.32493,0.32713,0.41069,0.39068,0.28105,0.12363,0.16416,0.084563,0.10452
Thu 17:30,0.22301,0.27404,0.34683,0.34173,0.50545,0.53003,0.29228,0.1115,0.1467,0.099137,0.077686
Thu 18:00,0.20323,0.25462,0.34574,0.35682,0.41632,0.43204,0.30873,0.099151,0.12037,0.10003,0.069997
Thu 18:30,0.19524,0.59721,0.295,0.30908,0.39935,0.34031,0.6741,0.11327,0.11277,0.076303,0.067563
Thu 19:00,0.19297,0.60182,0.33835,0.35132,0.48571,0.39957,0.7271,0.13219,0.13277,0.068911,0.072511
Thu 19:30,0.23486,0.54309,0.3559,0.35038,0.55525,0.4393,0.71808,0.13024,0.11919,0.075716,0.065641
Thu 20:00,0.26046,0.53225,0.35582,0.3498,0.58574,0.46462,0.70492,0.10476,0.37281,0.077475,0.067645
Thu 20:30,0.16649,0.54144,0.33402,0.349,0.50281,0.45063,0.70826,0.089161,0.37125,0.075495,0.068777
Thu 21:00,0.17979,0.52252,0.65255,0.65197,0.49094,0.38784,0.66879,0.090331,0.35684,0.080406,0.071341
Thu 21:30,0.19258,0.52347,0.58972,0.59706,0.38934,0.31093,0.62548,0.08904,0.3436,0.078164,0.069476
Thu 22:00,0.23632,0.52195,0.59392,0.57913,0.38319,0.31164,0.54926,0.098449,0.35722,0.065087,0.072622
Thu 22:30,0.27208,0.52003,0.58403,0.57946,0.41883,0.32614,0.40643,0.097783,0.3519,0.054333,0.068749
Thu 23:00,0.27453,0.40847,0.57465,0.59152,0.4087,0.36543,0.34729,0.13177,0.3825,0.077306,0.071778
Thu 23:30,0.31153,0.28072,0.57549,0.61396,0.42234,0.4441,0.33352,0.1494,0.39807,0.15337,0.11751
Fri 00:00,0.2833,0.2963,0.61824,0.58852,0.48295,0.4404,0.38924,0.15752,0.18902,0.12736,0.12559
Fri 00:30,0.37275,0.36262,0.4945,0.45144,0.50768,0.41043,0.45903,0.18284,0.16155,0.15874,0.15696
Fri 01:00,0.40259,0.3463,0.35901,0.29862,0.48822,0.4138,0.37494,0.16419,0.19174,0.14369,0.13419
Fri 01:30,,0.42868,0.34111,0.31398,0.55917,0.51642,0.36657,0.20859,0.18843,0.1094,0.17059
Fri 02:00,0.23437,0.41421,0.37652,0.36461,0.82012,0.72656,0.35393,0.23107,0.14258,0.11412,0.1709
Fri 02:30,0.20238,0.35897,0.41649,0.44035,0.71099,0.73698,0.33167,0.16763,0.1438,0.12912,0.12053
Fri 03:00,0.20009,0.30662,0.50282,0.5075,0.47215,0.51064,0.34271,0.15802,0.12923,0.13774,0.09911
Fri 03:30,0.23344,0.28198,0.47883,0.3945,0.42921,0.3871,0.33258,0.16386,0.16675,0.098493,0.096229
Fri 04:00,0.20155,0.23436,0.46068,0.34482,0.4279,0.39144,0.6695,0.15371,0.16012,0.10122,0.080649
Fri 04:30,0.19488,0.22633,0.53947,0.41796,0.41385,0.39445,0.66333,0.16322,0.17344,0.083063,0.08156
Fri 05:00,0.1879,0.20393,0.51198,0.43075,0.44837,0.34535,0.62519,0.15252,0.16706,0.099002,0.091653
Fri 05:30,0.21733,0.23111,0.49305,0.35444,0.49838,0.36238,0.25606,0.19271,0.14093,0.129,0.10906
Fri 06:00,0.24646,0.27533,0.4628,0.44132,0.5302,0.36998,0.32451,0.17168,0.17123,0.18834,0.12645
Fri 06:30,0.26476,0.29383,0.47223,0.33754,0.59312,0.34722,0.25758,0.18242,0.14926,0.10755,0.088535
Fri 07:00,0.26667,0.22079,0.42457,0.3225,0.56494,0.35708,0.24473,0.12788,0.13187,0.086495,0.092293
Fri 07:30,0.27925,0.23829,0.47504,0.34435,0.50074,0.33391,0.28158,0.12934,0.12862,0.25407,0.11518
Fri 08:00,0.25987,0.21821,0.49745,0.33204,0.32199,0.22241,0.28722,0.127,0.10491,0.29319,0.09512
Fri 08:30,0.25478,0.25939,0.53078,0.37485,0.35708,0.33052,0.32774,0.15623,0.12426,0.31063,0.077701
Fri 09:00,0.29128,0.25535,0.44562,0.37716,0.51733,0.58337,0.30255,0.22286,0.13632,0.32267,0.10162
